revision;file;nodeIdentifier1;nodeIdentifier2
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/elasticmapreduce/model/RunJobFlowRequest.java;private Boolean visibleToAllUsers;private Boolean visibleToAllUsers
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/elasticmapreduce/model/RunJobFlowRequest.java;public Boolean isVisibleToAllUsers() ;public Boolean isVisibleToAllUsers() 
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/elasticmapreduce/model/RunJobFlowRequest.java;public void setVisibleToAllUsers(Boolean visibleToAllUsers) ;public void setVisibleToAllUsers(Boolean visibleToAllUsers) 
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/elasticmapreduce/model/RunJobFlowRequest.java;public RunJobFlowRequest withVisibleToAllUsers(Boolean visibleToAllUsers) ;public RunJobFlowRequest withVisibleToAllUsers(Boolean visibleToAllUsers) 
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/elasticmapreduce/model/RunJobFlowRequest.java;public Boolean getVisibleToAllUsers() ;public Boolean getVisibleToAllUsers() 
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/rds/model/transform/RemoveTagsFromResourceRequestMarshaller.java;public Request<RemoveTagsFromResourceRequest> marshall(RemoveTagsFromResourceRequest removeTagsFromResourceRequest) ;public Request<RemoveTagsFromResourceRequest> marshall(RemoveTagsFromResourceRequest removeTagsFromResourceRequest) 
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/storagegateway/model/CreateSnapshotFromVolumeRecoveryPointRequest.java;private String volumeARN;private String volumeARN
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/storagegateway/model/CreateSnapshotFromVolumeRecoveryPointRequest.java;private String snapshotDescription;private String snapshotDescription
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/storagegateway/model/CreateSnapshotFromVolumeRecoveryPointRequest.java;public String getVolumeARN() ;public String getVolumeARN() 
/home/paper219/Desktop/analysis/fullsample//projects/aws-sdk-java/revisions/rev_50eeb45_8cee0c9/rev_50eeb45-8cee0c9.revisions;/src/main/java/com/amazonaws/services/storagegateway/model/CreateSnapshotFromVolumeRecoveryPointRequest.java;public void setVolumeARN(String volumeARN) ;public void setVolumeARN(String volumeARN) 
