revision;ssmergeConfs;linedbasedConfs;ssmergeLOC;linebasedLOC;ssmergeFiles;linebasedFiles;semanticConfs;jdimeConfs;jdimeLOC;jdimeFiles;equalConfs
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_fe902c0_4681457/rev_fe902c0-4681457.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_4681457_b6e8b52/rev_4681457-b6e8b52.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_50247eb_17cfd73/rev_50247eb-17cfd73.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_54570e0_712c18e/rev_54570e0-712c18e.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_2f13341_eae373b/rev_2f13341-eae373b.revisions;0;1;0;9;0;1;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_b631212_dca7876/rev_b631212-dca7876.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_a8aaf9d_c8d909f/rev_a8aaf9d-c8d909f.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_b5ab0b6_3f01f8e/rev_b5ab0b6-3f01f8e.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_9526146_c57bf9b/rev_9526146-c57bf9b.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_3cd95d1_6f57fc1/rev_3cd95d1-6f57fc1.revisions;0;1;0;6;0;1;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_d211c94_acf5234/rev_d211c94-acf5234.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_9f1ad15_93b91fb/rev_9f1ad15-93b91fb.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_da4eddb_ccc425a/rev_da4eddb-ccc425a.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_f9d782f_bd70de3/rev_f9d782f-bd70de3.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_0af0f24_f087b25/rev_0af0f24-f087b25.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_b6fa238_c9bee11/rev_b6fa238-c9bee11.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_befd012_b972ddd/rev_befd012-b972ddd.revisions;0;0;0;0;0;0;0;0;0;0;0
