revision;file;nodeIdentifier1;nodeIdentifier2
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/EurekaClientConfig.java;@Nullable    String fetchRegistryForRemoteRegions();@Nullable    String fetchRegistryForRemoteRegions()
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java;private volatile AtomicReference<Applications> localRegionApps ;private volatile AtomicReference<Applications> localRegionApps 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java;private volatile Map<String, Applications> remoteRegionVsApps ;private volatile Map<String, Applications> remoteRegionVsApps 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java;private final String remoteRegionsToFetch;private final String remoteRegionsToFetch
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java;private final InstanceRegionChecker instanceRegionChecker;private final InstanceRegionChecker instanceRegionChecker
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java;public List<InstanceInfo> getInstancesByVipAddress(String vipAddress, boolean secure, String region) ;public List<InstanceInfo> getInstancesByVipAddress(String vipAddress, boolean secure, String region) 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java;private String getReconcileHashCode(Applications applications) ;private String getReconcileHashCode(Applications applications) 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java;private boolean isFetchingRemoteRegionRegistries() ;private boolean isFetchingRemoteRegionRegistries() 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;public static final String EUREKA_API_BASE_PATH ;public static final String EUREKA_API_BASE_PATH 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;private final Map<String, Application> applicationMap;private final Map<String, Application> applicationMap
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;private final Map<String, Application> applicationDeltaMap;private final Map<String, Application> applicationDeltaMap
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;private final Server server;private final Server server
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;private boolean sentDelta;private boolean sentDelta
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;public MockRemoteEurekaServer(int port, Map<String, Application> applicationMap,                                  Map<String, Application> applicationDeltaMap) ;public MockRemoteEurekaServer(int port, Map<String, Application> applicationMap,                                  Map<String, Application> applicationDeltaMap) 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;public void start() throws Exception ;public void start() throws Exception 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;public void stop() throws Exception ;public void stop() throws Exception 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;public boolean isSentDelta() ;public boolean isSentDelta() 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;  private class AppsResourceHandler extends AbstractHandler ;  private class AppsResourceHandler extends AbstractHandler 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;@Override        public void handle(String target, HttpServletRequest request, HttpServletResponse response, int dispatch)                throws IOException, ServletException ;@Override        public void handle(String target, HttpServletRequest request, HttpServletResponse response, int dispatch)                throws IOException, ServletException 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/test/java/com/netflix/eureka/mock/MockRemoteEurekaServer.java;private void sendOkResponseWithContent(Request request, HttpServletResponse response, String content)                throws IOException ;private void sendOkResponseWithContent(Request request, HttpServletResponse response, String content)                throws IOException 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/main/java/com/netflix/eureka/DefaultEurekaServerConfig.java;@Override    public Map<String, String> getRemoteRegionUrlsWithName() ;@Override    public Map<String, String> getRemoteRegionUrlsWithName() 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-core/src/main/java/com/netflix/eureka/DefaultEurekaServerConfig.java;@Nullable    @Override    public Set<String> getRemoteRegionAppWhitelist(@Nullable String regionName) ;@Nullable    @Override    public Set<String> getRemoteRegionAppWhitelist(@Nullable String regionName) 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/InstanceRegionChecker.java;private static final Logger logger ;private static final Logger logger 
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a84be6a_08e0412/rev_a84be6a-08e0412.revisions;/eureka-client/src/main/java/com/netflix/discovery/InstanceRegionChecker.java;private final Map<String, String> availabilityZoneVsRegion ;private final Map<String, String> availabilityZoneVsRegion 
