revision;file;nodeIdentifier1;nodeIdentifier2
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887.revisions;/src/test/java/redis/clients/jedis/tests/FragmentedByteArrayInputStream.java;private int readMethodCallCount ;private int readMethodCallCount 
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887.revisions;/src/test/java/redis/clients/jedis/tests/FragmentedByteArrayInputStream.java;public FragmentedByteArrayInputStream(final byte[] buf) ;public FragmentedByteArrayInputStream(final byte[] buf) 
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887.revisions;/src/test/java/redis/clients/jedis/tests/FragmentedByteArrayInputStream.java;@Override	public synchronized int read(final byte[] b, final int off, final int len) ;@Override	public synchronized int read(final byte[] b, final int off, final int len) 
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887.revisions;/src/test/java/redis/clients/jedis/tests/FragmentedByteArrayInputStream.java;public int getReadMethodCallCount() ;public int getReadMethodCallCount() 
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887.revisions;/src/test/java/redis/clients/jedis/tests/ProtocolTest.java;@Test    public void fragmentedBulkReply() ;@Test    public void fragmentedBulkReply() 
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;	private static class MaxComputer extends Computer ;	private static class MaxComputer extends Computer 
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;MaxHistory fMax;private final MaxHistory fMax
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;@Override		protected Runner getRunner(RunnerBuilder builder, Class<?> testClass)				throws Throwable ;@Override		protected Runner getRunner(RunnerBuilder builder, Class<?> testClass)				throws Throwable 
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;	private static class MaxRunner extends BlockJUnit4ClassRunner ;	private static class MaxRunner extends BlockJUnit4ClassRunner 
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;private List<FrameworkMethod> methods;private List<FrameworkMethod> methods
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;public MaxRunner(Class<?> klass, MaxHistory max)				throws InitializationError ;public MaxRunner(Class<?> klass, MaxHistory max)				throws InitializationError 
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;@Override		protected void runChild(FrameworkMethod method, RunNotifier notifier) ;@Override		protected void runChild(FrameworkMethod method, RunNotifier notifier) 
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;@Override		public void run(RunNotifier notifier) ;@Override		public void run(RunNotifier notifier) 
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;private void sortMethods() ;private void sortMethods() 
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;/src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java;	public static class TwoTests ;	public static class TwoTests 
