revision;file;methodSignature
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887;/src/main/java/redis/clients/jedis/Protocol;processBulkReply(DataInputStream);private Object processBulkReply(DataInputStream is) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f625489_d3362da/rev_f625489-d3362da;/src/main/java/redis/clients/jedis/Jedis;auth(String);public String auth(String password) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f625489_d3362da/rev_f625489-d3362da;/src/main/java/redis/clients/jedis/Connection;sendCommand(String,String);protected Connection sendCommand(String name, String... args) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f625489_d3362da/rev_f625489-d3362da;/src/main/java/redis/clients/jedis/ShardedJedis;disconnect();public void disconnect() throws IOException {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_333a9bc_e7e4c4c/rev_333a9bc-e7e4c4c;/src/main/java/redis/clients/jedis/Transaction;setbit(String,long,String);
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_219beb3_b77d9de/rev_219beb3-b77d9de;/src/main/java/org/junit/experimental/ParallelComputer;run(RunNotifier);
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_b737131_ff2ff91/rev_b737131-ff2ff91;/src/main/java/org/junit/experimental/ParallelComputer;getRunner(RunnerBuilder,Class<?>);@Override	protected Runner getRunner(RunnerBuilder builder, Class<?> testClass)			throws Throwable {
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_9577910_f2594e3/rev_9577910-f2594e3;/src/main/java/org/junit/experimental/ParallelComputer;getRunner(RunnerBuilder,Class<?>);@Override	protected Runner getRunner(RunnerBuilder builder, Class<?> testClass)			throws Throwable {
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_99a84a5_c865737/rev_99a84a5-c865737;/src/main/java/org/junit/runners/BlockJUnit4ClassRunner;validateInterceptorField(Field,List<Throwable>);
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_99a84a5_c865737/rev_99a84a5-c865737;/src/main/java/org/junit/experimental/interceptor/ExpectedException;expect(Matcher<?>);
