revision;file;errors
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887.revisions;/home/paper219/Desktop/analysis/fullsample/projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887/src/test/java/redis/clients/jedis/tests/ProtocolTest.java;1
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_99a84a5_c865737/rev_99a84a5-c865737.revisions;/home/paper219/Desktop/analysis/fullsample/projects/junit/revisions/rev_99a84a5_c865737/rev_99a84a5-c865737/src/main/java/org/junit/experimental/max/MaxHistory.java;1
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_b33b4b0_c3873cf/rev_b33b4b0-c3873cf.revisions;/home/paper219/Desktop/analysis/fullsample/projects/junit/revisions/rev_b33b4b0_c3873cf/rev_b33b4b0-c3873cf/src/main/java/junit/framework/JUnit4TestAdapterCache.java;2
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_25fa1d5_2de4d6f/rev_25fa1d5-2de4d6f.revisions;/home/paper219/Desktop/analysis/fullsample/projects/junit/revisions/rev_25fa1d5_2de4d6f/rev_25fa1d5-2de4d6f/src/main/java/junit/framework/TestSuite.java;1
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_592b71c_5695469/rev_592b71c-5695469.revisions;/home/paper219/Desktop/analysis/fullsample/projects/junit/revisions/rev_592b71c_5695469/rev_592b71c-5695469/src/main/java/junit/framework/TestSuite.java;1
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd.revisions;/home/paper219/Desktop/analysis/fullsample/projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd/src/test/java/redis/clients/jedis/tests/commands/StringValuesCommandsTest.java;1
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd.revisions;/home/paper219/Desktop/analysis/fullsample/projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd/src/main/java/redis/clients/jedis/BinaryClient.java;2
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd.revisions;/home/paper219/Desktop/analysis/fullsample/projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd/src/main/java/redis/clients/jedis/Client.java;2
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd.revisions;/home/paper219/Desktop/analysis/fullsample/projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd/src/main/java/redis/clients/jedis/BinaryJedis.java;4
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd.revisions;/home/paper219/Desktop/analysis/fullsample/projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd/src/main/java/redis/clients/jedis/Jedis.java;4
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd.revisions;/home/paper219/Desktop/analysis/fullsample/projects/jedis/revisions/rev_0d5062c_6af41cd/rev_0d5062c-6af41cd/src/main/java/redis/clients/jedis/PipelineBase.java;4
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_670e019_0a8aa7a/rev_670e019-0a8aa7a.revisions;/home/paper219/Desktop/analysis/fullsample/projects/jedis/revisions/rev_670e019_0a8aa7a/rev_670e019-0a8aa7a/src/main/java/redis/clients/jedis/ShardedJedisPool.java;1
