revision;referencesToRenamedMethods
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f625489_d3362da/rev_f625489-d3362da;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_333a9bc_e7e4c4c/rev_333a9bc-e7e4c4c;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_219beb3_b77d9de/rev_219beb3-b77d9de;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_b737131_ff2ff91/rev_b737131-ff2ff91;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_9577910_f2594e3/rev_9577910-f2594e3;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_99a84a5_c865737/rev_99a84a5-c865737;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_b33b4b0_c3873cf/rev_b33b4b0-c3873cf;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_63f40a8_ab51452/rev_63f40a8-ab51452;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f27f809_d97f30a/rev_f27f809-d97f30a;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_cb1b19b_04f6038/rev_cb1b19b-04f6038;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_457cccc_088f84b/rev_457cccc-088f84b;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_88e662e_155aff0/rev_88e662e-155aff0;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_bbb8677_7e1a1a7/rev_bbb8677-7e1a1a7;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_c2cf79c_ac53759/rev_c2cf79c-ac53759;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_167a782_81c8308/rev_167a782-81c8308;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_360e25e_03c0af2/rev_360e25e-03c0af2;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_26d1f4a_0aacd48/rev_26d1f4a-0aacd48;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_19fc1f8_fc594db/rev_19fc1f8-fc594db;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_0f76459_53e7dc2/rev_0f76459-53e7dc2;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_3495402_3ebc25e/rev_3495402-3ebc25e;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f9fb884_076df8c/rev_f9fb884-076df8c;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_53e7dc2_d33bd40/rev_53e7dc2-d33bd40;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_2510e34_d33bd40/rev_2510e34-d33bd40;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_6e2706b_7196dc6/rev_6e2706b-7196dc6;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_80d2827_d1842a2/rev_80d2827-d1842a2;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_ae1ffc9_6dd24ff/rev_ae1ffc9-6dd24ff;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_adeec7e_454f783/rev_adeec7e-454f783;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_9e95ce1_b540775/rev_9e95ce1-b540775;0
